icliente,clientedesde
TEWTOL,2011-08-09
T10859,2010-02-02
T04802,1999-05-18
T25103,2002-07-26
TDCCIY,2022-02-22
TDCA1D,2023-10-25
TEZLSW,2015-07-30
TEZHBN,2014-05-29
TB2869,2014-09-26
TFEEFS,2025-02-19
TFDBH8,2018-03-29
TFDDE5,2022-06-21
TCAMSQ,2008-12-05
TFBTVF,2018-11-14
TDCD8D,2023-01-02
TEYIZI,2012-06-22
TEZAU8,2012-10-19
TAAMGI,2011-01-27
TFDTUI,2024-05-09
TFDRAM,2023-01-31
TCBIMT,2016-09-15
TFDATD,2014-09-29
TFCPR2,2020-05-29
TFCX48,2021-05-20
TDCE7U,2021-12-13
T11623,2004-03-31
TFCZQJ,2021-10-25
TFEBMH,2024-09-27
TFCES8,2019-10-23
TFDSHV,2024-03-21
TFDI78,2023-04-18
TFDFT9,2022-09-30
TFCOS3,2020-03-12
TFCZ09,2021-09-22
T14749,2006-03-14
TEZKE5,2015-03-30
T07145,2005-12-30
TEZGE0,2014-03-27
TFDOFG,2023-07-10
TFDFFX,2022-09-21
TDCFGU,2012-11-01
TDC02G,2009-08-01
T17325,2008-03-13
TB1292,2012-10-05
TFEEAD,2025-02-05
T16279,2007-05-23
TFBNFH,2004-11-16
TDCFMT,2019-11-12
T28938,2001-11-12
TFEBZX,2024-10-25
T78209,2008-07-21
TDCD7Y,2021-08-16
TFDNOT,2023-05-31
TDCG55,2017-10-11
T75337,2009-11-30
TDCDL5,2019-07-18
TEZCBV,2013-03-07
TEXVDA,2012-04-24
TFDNDI,2023-05-23
TDCETV,2019-07-18
TFCYFH,2021-08-24
TFCTRC,2020-12-30
TFEEKN,2025-02-26
TFCX82,2021-06-20
T15822,2006-11-30
TEZJY7,2015-02-25
TFDNRQ,2023-06-09
T77568,2005-11-01
TEZFKC,2013-12-27
T07880,2015-06-17
TDCC4B,2024-05-23
TFDVK3,2024-08-29
TFBYYP,2020-11-19
TFBYFZ,2007-12-13
TEZMO2,2015-10-21
T08257,2001-12-12
TFBNGG,2022-01-31
TFBXW6,2016-06-28
TAAIA0,2010-12-09
TDCDI7,2018-06-18
T61788,2010-03-26
TDCA5J,2018-12-18
TFCK80,2017-10-11
TFBZ38,2018-05-28
T61925,2007-05-14
TDCGRH,2022-05-31
T23824,2012-12-14
T21757,1994-12-13
T56018,1999-07-22
T77096,2009-02-19
T08111,2006-09-22
TFDR46,2023-12-13
TFBYCB,2011-07-12
T76267,2010-02-19
TFDBII,2022-03-18
TEXCRB,2011-09-30
TDCCTL,2022-11-04
TFDGDI,2022-10-21
TEF158,2018-06-18
TDCC4G,2018-01-23
TFCYR2,2008-06-26
TFEEPK,2025-02-28
TD0698,2017-07-25
TDCDHQ,2023-08-09
T36224,2004-06-30
TFDAAO,2022-11-01
TB2097,2011-03-07
TEZFJM,2013-12-23
TDCCOW,2024-07-31
TFDDQ8,2022-06-30
TFD813,2021-12-15
TFDFMG,2022-09-01
TFCDVB,2019-01-02
TDCFHX,2023-09-01
TDCCOO,2023-12-26
TEZBE9,2012-12-17
TFCYC4,2022-07-20
TCA219,2014-01-27
TDC01Q,2016-04-01
TFBKX1,2013-03-13
TB3602,2015-02-05
TFDRVA,2024-02-16
TFEDRG,2025-01-13
T24598,2012-12-14
T05114,1999-08-02
TFECBJ,2024-10-31
T17041,2008-01-02
TEWGVH,2011-05-19
T47526,2011-03-04
TCBHV8,2010-01-26
TFDB86,2022-02-25
T22665,2010-03-02
TEZLHB,2015-06-30
TFCXNP,2021-07-14
TFCPJX,2020-05-18
TFBYGN,2011-04-07
TEZIFJ,2014-09-18
TEXCSY,2011-09-30
T28165,2021-12-31
T37932,1995-08-28
T17149,2013-07-24
TFECM9,2024-11-18
TA3077,2002-01-01
TFEE55,2025-02-03
TFDPJG,2024-11-29
TFDJPZ,2023-04-20
TFEC23,2024-10-28
TDCDXM,2023-03-03
T53401,2000-05-26
TDCGYI,2022-12-28
TAAM36,2011-01-19
TFDVMM,2024-08-30
TFDO61,2023-06-29
T11037,1989-09-25
T05816,1999-12-29
TFDRVD,2024-02-16
TFCMU7,2019-12-19
TDCDNM,2021-08-12
TA3098,2008-03-11
TB1172,2015-03-25
TFBSW3,2018-01-22
TEXCL4,2011-09-20
TDCFHN,2022-07-14
TFCZ58,2021-09-24
TB4815,2016-02-10
TFCS65,2020-10-13
TFBZ49,2018-05-28
T07389,2005-12-19
T75062,2009-12-23
TFECOT,2024-11-21
TDCHBK,2024-08-28
T77520,2009-12-14
TFCRLX,2020-09-09
TDCGV6,2018-09-04
TDCGSJ,2022-11-08
TB2025,2011-08-15
TFBYNF,2018-05-07
TFDPMB,2023-09-08
TDCCAK,2024-06-12
T61988,2013-12-20
TDCEDI,2024-08-02
TDC0AJ,2020-03-01
T07562,2002-04-11
TFBKQK,2013-11-01
TFDSNO,2024-03-28
TFCXO3,2021-07-12
TDCC3C,2021-04-23
TB5781,2016-04-07
TFCWLT,2021-05-31
TFDIL5,2023-02-13
TDC0DF,2020-12-16
TEVVM6,2013-02-22
TB2037,2013-08-15
TFDEA0,2022-07-26
TC2585,2014-10-28
TDCDTG,2022-08-17
TA2621,2011-04-14
TEZLF7,2015-06-25
TFDAMJ,2022-01-27
T00538,2010-08-24
TFCGDG,2019-04-17
TFDUNN,2024-06-28
TEZJDA,2013-06-11
T45453,2011-12-29
TAAQTH,2011-03-24
T03439,2012-06-26
TCAQU5,2016-09-13
TFEEP6,2025-02-28
T80088,2010-07-01
T03459,1998-02-10
TDCADW,2023-03-01
TEZISI,2014-10-23
TFDQNJ,2023-11-21
TFDPNY,2023-09-13
TFDPPA,2023-09-18
TFBXLX,2010-04-06
TFCQLG,2020-07-20
TEZFQ0,2009-12-02
TFCZP7,2021-10-22
TFCQGU,2020-07-07
TFDRSE,2023-08-29
TFCXM5,2021-07-15
TCANWL,2021-08-26
T11293,2003-12-29
TDCCB8,2019-04-17
TDCEES,2015-08-28
TDCG0L,2021-10-29
T84331,2012-02-15
TFEBS8,2024-10-03
TFCAV9,2018-09-25
T02776,1997-05-12
TFEDWE,2025-02-07
TFDAF9,2022-01-27
T45427,2004-05-11
T61862,2010-03-11
TFDOBM,2023-06-30
TFCISI,2019-07-29
TFDFP4,2022-09-28
TFDVRB,2024-09-13
TDCDJJ,2020-04-17
T78775,2013-01-21
TFCVVX,2021-04-30
TDCGAE,2023-09-04
T32062,2010-05-24
TEZIII,2014-09-30
TFCRMK,2020-09-14
TB0659,2014-03-15
TFDD88,2013-10-01
TCACR1,2014-02-10
TDCEBF,2024-07-31
TB3918,2013-10-01
TFDF43,2022-08-31
TDCD7E,2023-07-11
TFECUW,2024-11-29
TFDNOF,2023-05-31
TFD403,2021-11-25
TDCCFZ,2022-06-30
T38002,2001-02-13
TDCFZY,2021-09-13
TFDQOE,2023-11-22
TEZGAF,2015-01-21
TFDPBV,2024-01-31
T01773,1995-09-11
TFBJS9,2017-03-31
TA8247,2010-07-23
T54928,1991-05-16
T03491,1998-02-18
T12464,2014-07-16
TEZMJX,2015-10-01
T13065,2006-12-22
TDCFID,2021-01-11
TFECA4,2024-10-31
TDCGX0,2017-09-28
TC1303,2018-06-25
TB4804,2016-02-15
TFDFH4,2022-09-21
TFCR77,2020-08-13
TFDRSK,2024-02-06
TB2496,2015-02-24
TDCG2K,2023-11-29
TFCWGP,2021-05-24
T13780,2013-08-01
T13796,2007-03-26
TFCFW2,2019-03-29
TEZMOM,2010-02-25
TFDRR1,2024-02-01
TFCZD7,2021-09-29
TB1056,2007-07-05
TDCEK4,2021-10-26
TDCCSK,2022-12-06
TFCEE4,2013-08-26
TFAIK4,2016-12-23
TDCEK5,2021-09-24
TFDNSN,2023-06-13
T02523,1993-02-11
T05808,1996-08-30
TFCZXZ,2021-11-01
TDCEOK,2022-08-09
TFDNMW,2023-05-31
TEZDV1,2011-07-29
TFDU45,2024-06-10
T20214,2009-07-02
TDC0KM,2017-07-01
TB3641,2014-03-25
T75385,2011-02-22
TFDAY0,2022-02-21
T32013,2010-12-08
TDCF1Y,2022-08-31
TFDUSI,2024-07-02
TDCDDZ,2023-03-08
T52933,2011-03-24
TFDBLK,2022-03-23
T60892,2011-08-03
TDC9RO,2021-02-23
TB3492,2016-03-22
T74015,2008-11-17
T42079,2009-10-29
TDC1OB,2025-01-07
TFD186,2021-11-17
T06914,2000-10-31
TFCPGO,2021-09-29
T77027,2009-02-04
T15747,2009-12-10
TDCF0W,2022-08-29
TFEDET,2024-12-23
TEZNGU,2015-12-17
TDC33I,2019-06-01
TEZIDX,2014-09-18
TFDULJ,2024-06-26
TCALF3,2019-04-15
TFEED1,2025-02-17
T11687,2004-04-20
TCANA8,2014-11-11
TDCA6D,2021-02-23
TEZCV6,2013-05-23
TEVVPM,2011-08-31
TFBXW2,2017-09-26
TFDEH7,2022-08-03
TFEEII,2025-02-24
T77172,2013-03-21
TEYSWS,2012-07-20
TFBSJ9,2014-01-07
T51839,2011-07-06
TDC0IX,2017-09-01
T60224,2009-10-19
T17275,2012-05-22
TB3213,2014-01-10
T60441,2009-06-03
TFDAA0,2022-12-26
T40020,2011-06-30
TFCU35,2021-01-22
TDCFSV,2024-08-08
T31926,1997-11-28
TDCGPP,2022-09-27
TEZNT0,2016-02-11
T49954,2019-09-30
TFDNVD,2023-06-20
TFCTW1,2014-11-18
TFDFSI,2022-09-30
TFCRFU,2020-08-28
TDCGCV,2014-11-17
T57445,2010-10-29
TFDUUV,2024-07-09
TFBXVJ,2000-01-01
TC0358,2009-06-15
TFDUGO,2024-06-14
TFDS54,2024-02-29
TEXSPK,2012-03-27
TFBSQB,2018-01-12
TFDPG2,2023-08-31
TFDODN,2023-07-03
TFCZ70,2021-09-24
TFDVMG,2024-08-30
TFBRNE,2017-12-29
TEZQDF,2016-08-08
TB4850,2017-09-06
T22186,1991-06-01
TEYVRA,2012-08-17
TDC27R,2022-06-29
TFCX47,2021-05-18
TFDUVK,2024-07-12
TFBLGX,2017-09-15
TD0066,2013-03-13
TEXKBT,2011-12-15
T84493,2010-02-26
TFDSLI,2024-03-28
TFACVD,2024-06-28
TDCH7C,2021-10-21
TFEEG9,2025-02-19
TFDMXR,2023-05-05
T07748,2009-12-15
TFCSAB,2020-10-16
TB4511,2016-02-05
TDCH1P,2022-11-30
TA3307,2003-04-07
TEXVJJ,2012-04-19
TFBXYX,2013-01-18
TDCF8A,2017-11-07
T51800,2010-12-17
T57306,2009-05-12
TFDCEK,2022-04-29
TDCFGS,2024-04-02
TFDGNY,2022-11-08
T03644,1998-05-29
TFDDLM,2022-06-29
TFDC78,2022-04-22
TEVVT0,2010-03-08
TFDDJ5,2022-06-27
TFEEFW,2025-02-19
TEVZN2,2006-04-04
TFDUMF,2024-06-27
TFCJMH,2019-08-28
TFDHQV,2022-12-29
T16834,2007-10-31
TFCZR8,2021-10-26
TFEC17,2024-10-28
TDCGGW,2019-09-23
TA2869,2003-01-02
TB4358,2015-01-25
TB2968,2012-04-20
TEZUUO,2016-09-28
TFBWYD,2018-04-27
TFDRJV,2024-01-17
TFCNTF,2018-05-09
TEZLMG,2013-01-18
TFDBIX,2021-06-24
T21048,2011-04-15
TDCDC7,2022-03-07
TEXVCH,2001-12-19
T37041,2012-06-14
TFBWP2,2014-05-28
TFDFN2,2022-09-28
TFBZNE,2018-06-20
T37094,2004-06-30
TEZBXW,2012-12-24
TFDTW8,2024-05-14
T35575,2009-12-29
TEZJSN,2015-02-12
TFCQB8,2020-06-29
TFCSU9,2020-11-25
TDCC35,2014-08-22
TB1827,2009-11-20
TFCFTB,2019-03-29
TDCC2L,2018-10-10
TFCXHA,2021-07-01
TFDRFO,2023-12-29
TFDVPI,2024-09-09
TFCNRP,2010-06-29
TCBJA3,2011-09-21
TB2497,2015-02-24
TFED34,2024-12-09
T15753,2006-10-31
TFDGKG,2010-03-02
T10392,2000-08-01
TDCENQ,2024-03-15
TEZMT4,2015-10-25
TDC0X0,2020-04-01
TFECKS,2024-11-13
TFCONR,2025-03-13
TDCEYF,2020-07-30
TDC9X2,2021-07-27
T01899,1995-12-14
TDCEVC,2024-01-22
TFCEMY,2019-01-31
TFDBFX,2023-03-09
TFBZT8,2018-06-28
TFDPFO,2025-02-28
TDCEO3,2021-04-30
TB1634,2010-01-28
TDCE8V,2018-02-22
TEXYF4,2010-12-27
TFDUAV,2024-05-29
TDCDGS,2024-11-18
T01351,1994-11-11
TFBLQ1,2017-10-10
TFBYIU,2017-03-28
TFDEC3,2022-07-28
TFCRFY,2020-08-28
T51145,2009-11-04
T14319,2011-05-09
T13857,2005-06-27
TB3542,2014-04-28
T47857,2006-11-30
TDCC2M,2018-10-09
TEZFID,2013-12-20
TDCCK1,2022-02-07
TFDQUV,2023-11-30
TFDBSF,2022-05-13
TFCQSA,2020-07-31
TEWRJA,2011-07-29
TFD267,2022-03-28
TDCF41,2021-09-16
TEZEO4,2013-10-08
TDCHB0,2024-09-20
TEZLK4,2023-02-28
TFCRID,2020-08-31
TDCFPB,2023-12-05
T43130,2010-07-26
T22532,2000-03-15
T03415,1998-01-08
TEZKDT,2015-03-23
TCAXST,2014-08-07
TFDFT4,2022-09-30
TFCPB7,2020-04-15
T46371,2007-01-02
TFCTW5,2014-11-18
T61235,2005-10-24
TFDMX1,2023-05-03
TEZHAN,2014-05-28
TDCE77,2023-04-04
TFCPHL,2023-10-04
T84754,2018-09-12
TFDMWG,2023-11-17
TDCF77,2024-06-28
TEZUUX,2016-09-29
T36679,2000-02-21
T75306,2016-05-23
TFBRJW,2017-12-21
TC3240,2015-11-30
T57849,2007-04-18
TB1937,2011-06-06
TFDCDJ,2022-04-29
TFEBFR,2024-09-25
T24410,2009-11-10
T61024,2009-07-20
TB4118,2014-05-28
T10869,2003-08-29
TFDAMI,2022-01-27
TEYVYZ,2012-08-31
TCARLC,2017-05-02
TFCVU9,2021-04-28
TEZCEK,2013-04-02
TFDQIK,2023-11-06
T03201,1997-09-24
T62512,2009-08-27
TDCFCW,2023-11-07
TFCPTO,2020-06-04
TDCGAY,2019-10-10
TFDQPJ,2023-11-24
TAA537,2011-03-28
TFCVLB,2021-04-08
TFDV91,2024-07-31
TB0731,2006-01-05
TFCN09,2020-01-06
T04876,1999-06-01
T16950,2002-10-15
TEZGBW,2014-02-04
TFBLJG,2017-09-25
TDC337,2022-06-01
TFDFA0,2020-10-30
TDCG1B,2022-10-14
TDCDHA,2021-11-29
TDCF5O,2024-04-02
TDCDCB,2021-09-30
TFCOCQ,2020-02-19
T17432,2010-04-28
TB3620,2013-04-25
T15854,2010-02-09
TFBTIH,2018-02-08
TDCD27,2023-01-19
TFCUXW,2021-08-26
T15080,2006-04-13
TEZG24,2014-02-25
T54615,2011-05-30
TFCWEY,2021-05-20
TDCG8B,2021-08-17
TA8241,2010-07-26
TFDOSE,2023-07-31
TFCJNX,2019-08-29
TEXCHQ,2012-05-03
T46007,2011-04-05
T52926,2012-11-06
T57161,2011-02-28
TFCSN0,2020-11-12
TB1207,2012-07-05
TEVNDC,2007-06-28
T08433,2015-12-17
T16208,2007-05-31
TEXKG9,2011-12-21
TFEDDN,2024-12-19
TDCFV2,2024-08-23
TDCHB5,2024-09-30
T53360,2009-06-29
TFEEFN,2025-02-19
TFDHQN,2022-12-29
T55554,2007-12-04
T16751,2007-09-25
TFBXIJ,2023-06-30
T01356,2011-12-05
TFCJNS,2019-08-29
T40217,2015-12-07
TFCOUZ,2020-03-17
TFDIEI,2023-01-31
TEVVV1,2020-08-28
TD0317,2011-07-04
TDCELY,2016-05-02
TD0407,2013-12-10
TFDQJO,2023-11-08
TFDXY6,2024-09-23
TEZNAS,2015-11-30
TDC024,2020-08-07
TFDPFL,2023-08-31
TEZSNN,2016-08-17
TDCC5X,2021-11-10
TEXFBJ,2011-10-25
TFDRP5,2023-09-06
TB1173,2015-03-25
TFBY63,2013-08-13
TB2139,2013-10-05
TFDQS3,2023-11-28
TFCDRM,2018-12-21
TFCOGC,2020-01-31
TFDSHG,2024-03-20
TFECAR,2024-10-31
TEZNZ2,2016-03-11
TDCAEH,2023-04-12
TEVSAQ,2010-02-19
TEY678,2012-06-15
TFDSGE,2024-03-25
TAAG42,2006-06-28
TFDQKX,2023-11-13
T16411,2010-04-30
TFEBQ0,2024-10-01
TB3111,2014-08-16
TFECJZ,2024-11-12
TDCC6L,2024-01-12
TFDN39,2023-05-11
TDCEAU,2021-02-22
TFBZLC,2018-06-14
TFCYVO,2021-09-16
TAAHSW,2010-11-10
TFCQDN,2020-06-30
TDCGHF,2019-02-15
TFCYEC,2021-08-17
T05995,2000-02-15
TA2657,2015-06-15
TFCUWG,2021-03-08
TFCX58,2021-06-13
TEZNYE,2016-03-04
TFECWL,2024-11-29
TFDHAK,2022-12-05
TFEDSH,2025-01-16
T17987,2009-01-13
TFDCZV,2022-06-02
T53590,2015-03-26
T34551,2010-08-25
TDCEFW,2018-03-26
TFCQRA,2020-07-30
TB1468,2014-05-05
TFEEKX,2025-02-26
TFBYGY,2013-01-18
TFDRK7,2024-01-18
TFCPRS,2020-05-29
TDCEGM,2023-06-29
T75004,2010-02-08
TEZLG7,2015-07-03
TFCBAL,2018-10-01
TEZB36,2017-10-23
T05606,2014-09-04
TDCDOZ,2022-01-27
TB1718,2009-10-20
T84290,2008-10-09
TEZG04,2013-01-10
TA3867,2016-07-07
TFDV14,2024-07-29
TEVP67,2010-05-13
T55754,2001-03-21
TFDJPD,2023-04-18
TFDOKF,2023-07-21
TDCGWW,2022-02-25
TAAFTY,2007-12-04
T57154,2009-07-03
TFCOP7,2020-03-09
TB2562,2011-06-06
TFDBKI,2022-03-22
TEZVOV,2021-12-30
T61662,2006-09-29
TDCC1L,2024-04-19
T28597,1995-05-29
TDCD0F,2022-06-07
T62525,2009-10-30
TEWOWF,2011-06-29
TFCATG,2018-09-19
T36438,2012-12-26
TB2603,2020-03-04
TFBXE4,2006-03-10
T77293,2011-11-04
T30443,1996-10-24
TFDUZN,2024-07-26
TEZNIQ,2015-12-09
TFECAO,2024-10-31
TFDOVP,2024-09-26
TEZKFG,2015-03-30
T02235,1996-07-04
TB3017,2012-06-20
TDCDSH,2022-10-18
TFECOP,2024-11-21
TFDJ68,2023-03-20
TFDEAU,2022-07-27
TFCET3,2016-09-05
T79237,2010-04-14
TFACV9,2016-12-12
TFC816,2023-12-27
T48228,2012-09-25
TFCWNZ,2021-06-02
TCABE5,2013-09-03
TDCG1V,2023-10-19
TB2240,2013-12-09
TDCFDT,2018-12-19
TEYYSH,2012-09-25
T76474,2010-09-02
TEXHUS,2011-11-15
TFDANE,2022-01-29
TB3895,2013-11-01
TFDHHW,2022-12-19
TDCFH9,2021-09-13
TFEEO1,2025-02-28
T06525,2000-07-19
TFCDQO,2022-05-10
TDCG6G,2024-05-21
T84547,2009-10-28
TFD804,2024-09-30
TFCBX0,2018-10-31
TCBHXQ,2007-08-24
TFCXLB,2021-07-13
TEZOAB,2016-03-24
TFDVCT,2024-08-07
T11906,2005-06-30
TFDHBQ,2022-03-17
TFBLKB,2016-02-15
TFCXXN,2021-07-30
TFCX50,2021-06-09
TFDSZ4,2024-09-26
T15173,2009-03-16
TB4442,2015-01-10
T77788,2012-11-07
TFDVRL,2024-09-16
TFDQTO,2023-11-29
T76419,2007-06-06
TFEDAQ,2024-12-13
TAA394,2010-08-24
TDCEX3,2018-09-04
TFBKES,2017-06-26
T15045,2006-05-05
TFCTO6,2020-12-23
TDC31V,2016-01-29
TEZEI2,1998-06-03
TFCEZH,2019-02-20
T54838,1997-06-27
T62310,2009-11-30
T59920,2010-10-01
TDCGZ5,2021-11-10
TFCHW3,2019-06-25
TA0900,2010-05-13
TDC135,2020-03-01
TFDVDY,2024-08-12
T60571,2010-02-24
TB5559,2021-08-13
T79896,2009-11-16
TFCXTF,2021-07-26
TDCH9Y,2022-02-24
TFEDMO,2025-01-10
TFEBQ4,2024-09-30
TFDF96,2022-08-31
T27369,1994-09-22
TFCN90,2020-01-14
TDCDCX,2023-12-04
T45940,2011-01-28
TDC86R,2020-05-05
TFBWZ1,2018-04-27
T50945,2012-11-27
T25303,2010-02-04
TFCR85,2020-09-30
TB2979,2012-08-25
TEZGGX,2014-03-27
T61402,2010-03-25
TDCGY9,2021-04-17
T61412,2006-06-19
TFCBHL,2018-10-11
T16167,2012-07-02
TFDVE6,2024-08-12
TFCFVQ,2019-03-29
TB3272,2012-10-15
TDCFFC,2023-10-10
T03993,1998-02-26
TFCNSQ,2020-01-31
TDCHEU,2024-10-14
TFCUC5,2021-01-29
TB2095,2010-09-10
TFCTSH,2021-06-29
TDCHCT,2024-09-23
TFEEB7,2025-02-07
TFC146,2016-05-23
TFCC97,2018-11-12
T84717,2004-11-23
TA8446,2010-07-29
TB4131,2014-02-15
T61210,2010-01-08
T10402,2007-07-02
TFDDKK,2022-06-28
TFDIM0,2023-02-15
TDCDAT,2024-08-09
TFECM8,2024-11-18
TDC07A,2020-07-01
TFCYFY,2021-08-20
TFCTJ9,2020-12-16
T54414,2009-12-11
T16971,2007-11-13
TFEEWN,2025-03-20
TB3988,2014-11-28
TDCD2U,2021-06-30
T11577,2004-04-14
TFCQTT,2020-07-31
TFDNOP,2023-05-31
TDCE7G,2018-09-25
T33320,2010-11-30
TFCSJ0,2020-10-30
TDCFS8,2021-10-02
TDCEPM,2022-08-19
TDCFNJ,2013-08-19
TFDEB8,2022-07-27
TFBKNV,2017-07-14
TFCLHO,2019-10-30
T03211,1997-09-30
TDCGRQ,2018-09-20
T59700,2011-05-02
TEXPO9,2012-02-28
TDCG2U,2021-06-08
TFDI94,2023-01-24
TFCMON,2016-05-24
T60327,2009-05-07
TFEEYQ,2025-03-24
TFDQ71,2023-10-17
T09965,2004-09-30
TB0849,2015-10-05
TB2169,2019-03-29
TFDVA8,2024-07-31
TDCD17,2023-12-28
T25256,2001-11-30
TDCA4G,2020-07-22
TDCG4W,2022-06-30
TFCEVN,2014-07-30
TEZCBR,2013-03-22
TDCFQT,2020-08-26
TFBKDK,2012-11-22
T77109,2010-05-27
TFDU29,2024-05-23
T01440,1996-06-19
TEVVTC,2010-03-24
TFDH10,2022-11-30
TDC350,2020-02-28
TEXCU9,2011-10-04
T01702,2012-05-02
TFEBUG,2024-10-09
T50702,2009-12-04
TFEE34,2025-01-31
TFDV79,2024-07-31
TEYYZJ,2019-01-24
T53658,2009-12-21
TB2492,2011-05-05
TDCG7X,2019-11-14
TEXSRY,2012-04-09
T16235,2009-10-16
TFDSNL,2024-03-28
T58381,2011-01-31
TFCYMM,2020-10-16
TDCH86,2022-06-30
T54086,2008-09-28
TFCWO1,2025-01-07
T57693,2009-01-06
TDC9TY,2022-11-10
TFBMVI,2012-10-31
TFCKOY,2019-09-30
TFDQ76,2023-10-17
TB4144,2017-05-29
TFCWG7,2021-05-24
TFCXXC,2021-07-29
TFDHZH,2023-10-30
T53023,2008-04-03
TDCFFE,2023-12-26
TFEBF4,2024-09-24
T10391,2003-04-30
TFDFM2,2022-11-24
TFDRS9,2024-02-06
TFDUTV,2024-07-08
TFDABC,2022-10-11
TFCC64,2014-07-02
T54649,2010-04-15
TDCCP3,2019-03-14
TFBYIJ,2011-04-14
TFDHKP,2023-03-24
T59746,2009-03-31
TEZDET,2013-06-21
TFCTWT,2021-01-12
TEZSO4,2016-08-24
TFDA63,2019-03-26
TFCKLP,2019-09-30
T27051,2016-06-02
TDCCKW,2020-10-14
TFCFVF,2019-03-29
TDC0IN,2020-04-01
T42091,2006-09-20
T33815,2003-05-23
TB4903,2016-01-25
TFDBQY,2022-03-30
TFD818,2021-12-14
TFCDFK,2018-12-05
TDCG95,2022-07-12
TFEDWY,2025-01-28
TFCYY4,2021-01-29
TEZEJW,2014-10-01
TEVVTO,2009-10-29
TDC8I0,2023-01-18
TFCHHI,2019-05-31
TEZDAJ,2013-06-17
TFDEJJ,2022-08-08
TFCEPO,2019-02-01
TDCCRT,2023-08-25
TB3345,2013-01-10
T53290,2007-08-23
TB6412,2017-05-17
T15688,2009-10-27
TFBOA1,2009-03-15
TA0729,2010-04-30
TEZLHN,2015-06-30
TFCPWG,2010-02-01
TFDOXA,2023-08-14
TFDQRQ,2023-11-27
TFBLRG,2017-10-11
TDC327,2012-02-28
T92244,2016-10-28
TDCCH4,2020-06-26
TEYSWD,2011-02-10
TB5391,2016-01-28
TFDUFI,2024-06-10
TFDIPZ,2023-02-27
TFCQOP,2020-07-27
TDCADZ,2023-03-08
T04036,1998-11-03
TFDEKM,2022-08-10
TDCDYB,2021-09-15
TDCE31,2023-10-30
TFDJJI,2023-03-31
TDCCP8,2021-07-16
T02571,1997-01-13
TA6227,2003-03-31
TFDPAA,2023-08-25
TB4666,2015-04-15
TFBK72,2020-07-16
TFDSYX,2025-02-25
TDCD0X,2020-10-30
TEWBQJ,2011-03-31
T42326,2013-01-08
TFBMEY,2014-08-21
TFCRDK,2020-08-21
T12552,2009-12-01
TFDEES,2022-07-29
TFDEY6,2022-08-30
TFEDHW,2024-12-30
TFCZQV,2021-10-26
TDC539,2021-12-01
TEXCMY,2011-09-30
TFDNCI,2023-05-19
TFDTY3,2024-05-16
TEZBGE,2012-12-21
T09450,2002-09-10
TDC80C,2022-05-11
T38667,2011-10-25
TFBO96,2005-08-26
T58720,2009-01-30
TFCCN2,2016-02-11
TEZHSZ,2014-08-05
T04028,2012-05-24
TFDO72,2023-06-29
TB0811,2014-05-05
TFCBUA,2018-10-31
T11382,2009-10-28
TDCEHX,2016-05-04
TFDSIP,2024-03-25
T10752,2003-07-18
TEF131,2018-09-27
TB2667,2011-07-11
T02727,1998-01-01
T84703,2008-05-01
TB1486,2011-02-10
TDCCUO,2022-05-09
T15780,2006-11-06
T56320,2009-08-27
T07614,2001-06-30
T11071,2003-10-21
T49804,2012-04-16
T76547,2009-11-27
TFCVQO,2021-04-23
TEZHEC,2014-06-05
TDCCUC,2021-02-04
TEZBGP,2012-12-26
TFCYKV,2021-08-30
TFEDH5,2024-12-27
T04083,2009-06-29
TEXSL6,2012-03-22
TA3402,2013-01-29
TFEDJG,2024-12-31
TFBXIZ,2018-02-04
T22366,2005-01-26
TFDRSF,2024-02-05
TFDGHS,2022-11-01
TFCSJL,2020-11-03
T03085,1993-12-23
TD2861,2018-05-23
TFBKZ9,2017-08-29
TCAG13,2015-02-24
T08822,1994-11-30
T01724,1995-08-03
TFEDMH,2025-01-10
TEZIW1,2014-11-06
T62321,2009-08-14
T52843,2008-03-10
TEZJN6,2011-11-28
TFDHBR,2022-12-06
TFAGPC,2016-12-16
TFDRLU,2024-01-24
TC7935,2014-08-07
TEXCTS,2011-10-03
TFBZPK,2018-06-25
TDCGRZ,2022-08-02
TFDQQG,2006-06-01
TDCECD,2023-02-03
TFDOWW,2023-08-24
TFDDR1,2022-06-30
TDCD2Z,2018-09-19
TFBYFK,2002-11-08
TDCG9B,2023-03-30
TDCG00,2023-09-25
TFECNB,2024-11-18
TEYO45,2012-07-02
T13017,1995-01-25
TCASEN,2017-05-15
TFDCSM,2022-05-26
TDCGOA,2024-05-27
TC5093,2023-11-30
T59103,2009-01-13
TFCVVU,2021-04-29
TFDJJQ,2023-03-31
T01487,1995-02-07
TEZHLC,2014-07-07
TFCD80,2018-11-30
TFDRDW,2023-12-27
TDCH8V,2022-07-13
TDCDFV,2021-09-22
T76678,2016-05-23
T62248,2009-08-14
TFDJON,2023-04-17
TFCY00,2021-08-02
TDCE4M,2021-11-10
TFDSJE,2024-03-26
TEZKBB,2015-03-12
TDCGTK,2022-01-06
TDC05I,2014-08-01
TDCD2X,2021-09-22
TCBNZS,2010-03-17
T25951,2004-05-19
TFDQO2,2023-11-22
TDCF6N,2023-06-21
TB5330,2018-10-15
TFBLT8,2017-10-23
T08976,2011-02-02
TFECP9,2024-11-21
TFEC18,2024-10-28
